Municipio;Porcentagem de abandono - Ensino fundamental - Anos Iniciais;Porcentagem de abandono - Ensino fundamental - Anos Finais;Porcentagem de abandono - Ensino Médio;Total Abandono Escolar
SANTO ANTONIO DO JARDIM;0,0;0,0;0,0;0,0
SAO JOAO DA BOA VISTA;0,0;0,68;1,55;2,23
SAO JOSE DO RIO PARDO;0,0;1,03;5,34;6,37
SAO SEBASTIAO DA GRAMA;0,0;1,53;6,25;7,78
TAMBAU;0,0;0,72;0,37;1,0899999999999999
TAPIRATIBA;0,0;0,0;0,0;0,0
VARGEM GRANDE DO SUL;0,0;0,91;4,12;5,03
ARAMINA;0,0;0,0;0,0;0,0
BURITIZAL;0,0;0,0;0,0;0,0
GUARA;0,0;0,0;3,43;3,43
IGARAPAVA;0,0;0,0;0,62;0,62
IPUA;0,0;0,0;0,0;0,0
ITUVERAVA;0,0;0,0;0,0;0,0
MIGUELOPOLIS;0,0;0,0;0,0;0,0
MORRO AGUDO;0,0;0,0;0,0;0,0
NUPORANGA;0,0;0,0;0,0;0,0
ORLANDIA;0,0;0,0;1,46;1,46
SALES OLIVEIRA;0,0;0,0;0,0;0,0
SAO JOAQUIM DA BARRA;0,0;0,75;5,09;5,84
BADY BASSITT;0,0;0,0;0,31;0,31
CEDRAL;0,0;0,0;0,0;0,0
GUAPIACU;0,0;0,0;8,08;8,08
IBIRA;0,0;0,0;0,0;0,0
ICEM;0,0;0,0;0,0;0,0
IPIGUA;0,0;0,0;0,0;0,0
MIRASSOLANDIA;0,0;0,0;0,0;0,0
NOVA GRANADA;0,0;0,0;0,0;0,0
ONDA VERDE;0,0;0,0;0,0;0,0
ORINDIUVA;0,0;0,0;0,0;0,0
PALESTINA;0,0;0,0;0,33;0,33
POTIRENDABA;0,0;0,0;0,0;0,0
SAO JOSE DO RIO PRETO;0,0;0,26;2,18;2,4400000000000004
UCHOA;0,0;0,0;10,12;10,12
MONTEIRO LOBATO;0,0;1,27;9,22;10,49
SAO JOSE DOS CAMPOS;0,12;0,4;1,02;1,54
ALUMINIO;0,0;0,0;0,0;0,0
ARACARIGUAMA;0,0;0,0;0,12;0,12
IBIUNA;0,0;0,12;1,2;1,3199999999999998
MAIRINQUE;0,0;0,0;1,3;1,3
SAO ROQUE;0,0;0,0;1,21;1,21
VARGEM GRANDE PAULISTA;0,0;0,11;0,86;0,97
ITANHAEM;0,0;0,17;0,78;0,9500000000000001
MONGAGUA;0,0;0,0;0,1;0,1
PERUIBE;0,0;0,0;0,17;0,17
PRAIA GRANDE;0,0;0,64;0,8;1,44
SAO VICENTE;0,0;0,47;1,17;1,64
BARRINHA;0,0;0,0;0,0;0,0
DUMONT;0,0;0,0;0,0;0,0
JARDINOPOLIS;0,0;0,0;3,96;3,96
PITANGUEIRAS;0,0;0,47;2,04;2,51
PONTAL;0,0;0,0;0,0;0,0
SERTAOZINHO;0,0;0,16;0,3;0,45999999999999996
TERRA ROXA;0,0;0,0;0,91;0,91
VIRADOURO;0,0;0,0;0,0;0,0
SOROCABA;0,02;0,43;2,21;2,66
SAO PAULO;0,15;0,76;2,49;3,4000000000000004
SAO PAULO;0,25;0,74;1,88;2,87
SAO PAULO;0,33;0,93;1,97;3,23
HORTOLANDIA;0,0;0,65;0,8;1,4500000000000002
PAULINIA;0,0;0,24;0,87;1,1099999999999999
SUMARE;0,05;0,16;0,92;1,1300000000000001
FERRAZ DE VASCONCELOS;0,0;0,97;3,46;4,43
SUZANO;0,14;0,7;2,43;3,27
EMBU DAS ARTES;0,02;0,59;1,84;2,45
TABOAO DA SERRA;0,57;0,53;1,61;2,71
BORBOREMA;0,0;0,0;0,0;0,0
CANDIDO RODRIGUES;0,0;0,0;0,0;0,0
DOBRADA;0,0;0,0;0,0;0,0
FERNANDO PRESTES;0,0;0,0;0,0;0,0
IBITINGA;0,0;0,0;0,0;0,0
ITAPOLIS;0,0;0,0;0,0;0,0
PIRANGI;0,0;0,0;0,0;0,0
SANTA ERNESTINA;0,0;0,0;0,0;0,0
TABATINGA;0,0;0,0;0,0;0,0
TAQUARITINGA;0,0;0,0;0,09;0,09
VISTA ALEGRE DO ALTO;0,0;0,0;0,0;0,0
CACAPAVA;0,0;0,81;2,23;3,04
JAMBEIRO;0,0;0,0;0,0;0,0
LAGOINHA;0,0;0,72;0,0;0,72
NATIVIDADE DA SERRA;0,0;0,0;8,17;8,17
PARAIBUNA;0,0;0,67;4,51;5,18
REDENCAO DA SERRA;0,0;0,0;0,0;0,0
SAO LUIZ DO PARAITINGA;0,0;0,0;2,09;2,09
TAUBATE;0,0;0,78;0,92;1,7000000000000002
ARCO-IRIS;0,0;0,0;1,82;1,82
BASTOS;0,0;0,0;0,99;0,99
HERCULANDIA;0,0;0,0;0,0;0,0
IACRI;0,0;0,0;0,0;0,0
JOAO RAMALHO;0,0;0,0;1,01;1,01
PARAPUA;0,0;0,0;0,47;0,47
QUATA;0,0;0,0;0,0;0,0
QUEIROZ;0,0;0,0;0,0;0,0
QUINTANA;0,0;0,31;2,56;2,87
RANCHARIA;0,0;0,0;0,0;0,0
RINOPOLIS;0,0;0,0;0,0;0,0
TUPA;0,0;0,61;1,15;1,7599999999999998
ARACOIABA DA SERRA;0,0;0,0;3,29;3,29
CAPELA DO ALTO;0,0;0,0;8,05;8,05
PIEDADE;0,0;0,83;1,79;2,62
PILAR DO SUL;0,0;0,58;1,31;1,8900000000000001
SALTO DE PIRAPORA;0,0;1,72;3,39;5,11
TAPIRAI;0,0;0,0;0,0;0,0
VOTORANTIM;0,0;1,05;5,16;6,21
ALVARES FLORENCE;0,0;1,06;2,25;3,31
AMERICO DE CAMPOS;0,0;0,0;0,0;0,0
CARDOSO;0,0;0,0;0,0;0,0
COSMORAMA;0,0;0,0;0,0;0,0
FLOREAL;0,0;0,0;0,0;0,0
GASTAO VIDIGAL;0,0;0,0;0,0;0,0
MACAUBAL;0,0;0,0;0,97;0,97
MONCOES;0,0;0,0;2,38;2,38
NHANDEARA;0,0;0,73;4,23;4,960000000000001
NOVA CASTILHO;0,0;0,0;0,0;0,0
NOVA LUZITANIA;0,0;0,0;0,0;0,0
PARISI;0,0;0,0;0,0;0,0
PAULO DE FARIA;0,0;0,0;0,0;0,0
PONTES GESTAL;0,0;0,0;0,0;0,0
RIOLANDIA;0,0;0,0;0,74;0,74
SEBASTIANOPOLIS DO SUL;0,0;0,0;0,0;0,0
VALENTIM GENTIL;0,0;0,0;0,0;0,0
VOTUPORANGA;0,0;0,48;3,75;4,23
