;Municipio;Total Abandono Escolar
464;PRESIDENTE BERNARDES;0,69
465;PRESIDENTE EPITACIO;3,85
466;PRESIDENTE PRUDENTE;1,3
467;PRESIDENTE VENCESLAU;14,26
468;PROMISSAO;0,59
469;QUADRA;0,72
470;QUATA;0,0
471;QUEIROZ;0,0
472;QUELUZ;0,78
473;QUINTANA;2,87
474;RAFARD;3,57
475;RANCHARIA;0,0
476;REDENCAO DA SERRA;0,0
477;REGENTE FEIJO;0,0
478;REGINOPOLIS;2,21
479;REGISTRO;1,54
480;RESTINGA;0,0
481;RIBEIRA;0,0
482;RIBEIRAO BONITO;5,35
483;RIBEIRAO BRANCO;0,71
484;RIBEIRAO CORRENTE;1,34
485;RIBEIRAO DO SUL;0,44
486;RIBEIRAO DOS INDIOS;0,0
487;RIBEIRAO GRANDE;1,84
488;RIBEIRAO PIRES;2,58
489;RIBEIRAO PRETO;8,8
490;RIFAINA;3,57
491;RINCAO;19,64
492;RINOPOLIS;0,0
493;RIO CLARO;1,11
494;RIO DAS PEDRAS;7,03
495;RIO GRANDE DA SERRA;0,87
496;RIOLANDIA;0,74
497;RIVERSUL;11,26
498;ROSANA;0,2
499;ROSEIRA;0,0
500;RUBIACEA;0,0
501;RUBINEIA;2,69
502;SABINO;8,46
503;SAGRES;0,0
504;SALES;0,0
505;SALES OLIVEIRA;0,0
506;SALESOPOLIS;1,19
507;SALMOURAO;0,0
508;SALTINHO;0,0
509;SALTO;0,54
510;SALTO DE PIRAPORA;5,11
511;SALTO GRANDE;0,0
512;SANDOVALINA;0,0
513;SANTA ADELIA;0,0
514;SANTA ALBERTINA;0,65
515;SANTA BARBARA D'OESTE;5,93
516;SANTA BRANCA;4,74
517;SANTA CLARA D'OESTE;0,0
518;SANTA CRUZ DA CONCEICAO;5,45
519;SANTA CRUZ DA ESPERANCA;0,0
520;SANTA CRUZ DAS PALMEIRAS;5,06
521;SANTA CRUZ DO RIO PARDO;2,55
522;SANTA ERNESTINA;0,0
523;SANTA FE DO SUL;0,0
524;SANTA GERTRUDES;0,25
525;SANTA ISABEL;2,86
526;SANTA LUCIA;5,88
527;SANTA MARIA DA SERRA;0,62
528;SANTA MERCEDES;0,0
529;SANTA RITA D'OESTE;0,0
530;SANTA RITA DO PASSA QUATRO;0,0
531;SANTA ROSA DE VITERBO;0,0
532;SANTA SALETE;0,0
533;SANTANA DA PONTE PENSA;0,0
534;SANTO ANASTACIO;0,0
535;SANTO ANDRE;1,25
536;SANTO ANTONIO DA ALEGRIA;0,0
537;SANTO ANTONIO DE POSSE;7,54
538;SANTO ANTONIO DO ARACANGUA;0,0
539;SANTO ANTONIO DO JARDIM;0,0
540;SANTO ANTONIO DO PINHAL;0,0
541;SANTO EXPEDITO;2,14
542;SANTOPOLIS DO AGUAPEI;1,85
543;SANTOS;0,69
544;SAO BENTO DO SAPUCAI;0,0
545;SAO BERNARDO DO CAMPO;33,92
546;SAO CAETANO DO SUL;0,33
547;SAO CARLOS;0,18
548;SAO FRANCISCO;0,0
549;SAO JOAO DA BOA VISTA;2,23
550;SAO JOAO DAS DUAS PONTES;0,0
551;SAO JOAO DE IRACEMA;0,0
552;SAO JOAO DO PAU D'ALHO;0,0
553;SAO JOAQUIM DA BARRA;5,84
554;SAO JOSE DA BELA VISTA;17,29
555;SAO JOSE DO BARREIRO;9,56
556;SAO JOSE DO RIO PARDO;6,37
557;SAO JOSE DO RIO PRETO;2,44
558;SAO JOSE DOS CAMPOS;1,54
559;SAO LOURENCO DA SERRA;0,0
560;SAO LUIZ DO PARAITINGA;2,09
561;SAO MANUEL;0,0
562;SAO MIGUEL ARCANJO;0,8
563;SAO PAULO;3,45
564;SAO PEDRO;8,18
565;SAO PEDRO DO TURVO;6,51
566;SAO ROQUE;1,21
567;SAO SEBASTIAO;0,0
568;SAO SEBASTIAO DA GRAMA;7,78
569;SAO SIMAO;9,87
570;SAO VICENTE;1,64
571;SARAPUI;0,0
572;SARUTAIA;9,97
573;SEBASTIANOPOLIS DO SUL;0,0
574;SERRA AZUL;9,9
575;SERRA NEGRA;1,22
576;SERRANA;10,74
577;SERTAOZINHO;0,46
578;SETE BARRAS;0,55
579;SEVERINIA;0,0
580;SILVEIRAS;9,14
581;SOCORRO;2,0
582;SOROCABA;2,66
583;SUD MENNUCCI;0,0
584;SUMARE;1,13
585;SUZANAPOLIS;0,0
586;SUZANO;3,27
587;TABAPUA;0,0
588;TABATINGA;0,0
589;TABOAO DA SERRA;2,71
590;TACIBA;0,58
591;TAGUAI;0,0
592;TAIACU;3,38
593;TAIUVA;0,0
594;TAMBAU;1,09
595;TANABI;0,0
596;TAPIRAI;0,0
597;TAPIRATIBA;0,0
598;TAQUARAL;2,1
599;TAQUARITINGA;0,09
600;TAQUARITUBA;3,24
601;TAQUARIVAI;0,0
602;TARABAI;0,0
603;TARUMA;0,0
604;TATUI;2,48
605;TAUBATE;1,7
606;TEJUPA;6,02
607;TEODORO SAMPAIO;0,18
608;TERRA ROXA;0,91
609;TIETE;0,0
610;TIMBURI;6,06
611;TORRE DE PEDRA;0,0
612;TORRINHA;0,0
613;TRABIJU;0,0
614;TREMEMBE;0,0
615;TRES FRONTEIRAS;0,0
616;TUIUTI;0,0
617;TUPA;1,76
618;TUPI PAULISTA;0,42
619;TURIUBA;0,0
620;TURMALINA;0,0
621;UBARANA;0,0
622;UBATUBA;0,0
623;UBIRAJARA;0,0
624;UCHOA;10,12
625;UNIAO PAULISTA;0,0
626;URANIA;0,0
627;URU;0,0
628;URUPES;0,0
629;VALENTIM GENTIL;0,0
630;VALINHOS;1,99
631;VALPARAISO;0,0
632;VARGEM;3,79
633;VARGEM GRANDE DO SUL;5,03
634;VARGEM GRANDE PAULISTA;0,97
635;VARZEA PAULISTA;2,86
636;VERA CRUZ;0,0
637;VINHEDO;3,4
638;VIRADOURO;0,0
639;VISTA ALEGRE DO ALTO;0,0
640;VITORIA BRASIL;0,0
641;VOTORANTIM;6,21
642;VOTUPORANGA;4,23
643;ZACARIAS;0,0
