Municipio;Total Abandono Escolar
JAU;1,75
BANANAL;1,75
IRACEMAPOLIS;1,72
BARUERI;1,7
TAUBATE;1,7
FRANCO DA ROCHA;1,67
CAIEIRAS;1,66
CONCHAS;1,66
GUAIMBE;1,65
SAO VICENTE;1,64
CAJAMAR;1,6
MARILIA;1,59
REGISTRO;1,54
SAO JOSE DOS CAMPOS;1,54
GALIA;1,51
ORLANDIA;1,46
HORTOLANDIA;1,45
FRANCISCO MORATO;1,45
PRAIA GRANDE;1,44
POA;1,44
PEDREIRA;1,42
GUARACAI;1,41
GUARATINGUETA;1,39
APARECIDA;1,39
ITAPECERICA DA SERRA;1,35
AMPARO;1,34
RIBEIRAO CORRENTE;1,34
PIACATU;1,33
IBIUNA;1,32
JUNDIAI;1,31
ELDORADO;1,3
MAIRINQUE;1,3
PRESIDENTE PRUDENTE;1,3
BARRA DO TURVO;1,29
ARTUR NOGUEIRA;1,28
ITATINGA;1,27
SANTO ANDRE;1,25
CABREUVA;1,23
BARRETOS;1,23
MIRACATU;1,23
PARIQUERA-ACU;1,22
SERRA NEGRA;1,22
SAO ROQUE;1,21
SALESOPOLIS;1,19
MOMBUCA;1,18
JUMIRIM;1,17
SUMARE;1,13
RIO CLARO;1,11
PAULINIA;1,11
MAIRIPORA;1,09
TAMBAU;1,09
PIRASSUNUNGA;1,07
EMBU-GUACU;1,05
DIADEMA;1,05
CACHOEIRA PAULISTA;1,03
JOAO RAMALHO;1,01
BASTOS;0,99
BOM JESUS DOS PERDOES;0,98
MACAUBAL;0,97
VARGEM GRANDE PAULISTA;0,97
PACAEMBU;0,96
IPERO;0,96
ITANHAEM;0,95
DRACENA;0,93
NOVA ODESSA;0,93
TERRA ROXA;0,91
CAIUA;0,91
ITU;0,88
RIO GRANDE DA SERRA;0,87
INDIANA;0,83
MOCOCA;0,83
SAO MIGUEL ARCANJO;0,8
GUARARAPES;0,79
QUELUZ;0,78
RIOLANDIA;0,74
NAZARE PAULISTA;0,72
LAGOINHA;0,72
QUADRA;0,72
RIBEIRAO BRANCO;0,71
PIQUETE;0,71
SANTOS;0,69
PRESIDENTE BERNARDES;0,69
LENCOIS PAULISTA;0,67
ARACATUBA;0,67
BRAGANCA PAULISTA;0,66
SANTA ALBERTINA;0,65
PINDAMONHANGABA;0,64
FERNANDOPOLIS;0,62
SANTA MARIA DA SERRA;0,62
IGARAPAVA;0,62
ITAPETININGA;0,6
PROMISSAO;0,59
TACIBA;0,58
PORTO FERREIRA;0,57
PATROCINIO PAULISTA;0,57
PENAPOLIS;0,55
SETE BARRAS;0,55
SALTO;0,54
ITAOCA;0,53
ITAI;0,53
GETULINA;0,52
ANDRADINA;0,52
ALTAIR;0,51
PIRACAIA;0,51
BALSAMO;0,5
PARAPUA;0,47
SERTAOZINHO;0,46
ANGATUBA;0,46
OSVALDO CRUZ;0,45
RIBEIRAO DO SUL;0,44
GENERAL SALGADO;0,43
TUPI PAULISTA;0,42
CAMPO LIMPO PAULISTA;0,41
JUQUITIBA;0,4
IEPE;0,4
PALMARES PAULISTA;0,38
ELIAS FAUSTO;0,37
CRISTAIS PAULISTA;0,37
JOSE BONIFACIO;0,37
ITAPEVA;0,36
PALMITAL;0,33
SAO CAETANO DO SUL;0,33
PALESTINA;0,33
BADY BASSITT;0,31
ADAMANTINA;0,3
LOUVEIRA;0,28
AURIFLAMA;0,28
ASSIS;0,27
AMERICO BRASILIENSE;0,26
SANTA GERTRUDES;0,25
ENGENHEIRO COELHO;0,24
ITARIRI;0,21
ROSANA;0,2
ITATIBA;0,2
ILHABELA;0,19
PEDRO DE TOLEDO;0,19
MIRANDOPOLIS;0,19
SAO CARLOS;0,18
TEODORO SAMPAIO;0,18
PERUIBE;0,17
CANDIDO MOTA;0,15
