Município,Percentual
Cândido Rodrigues,40.0,40.0,20.0,100.0,80.0,100.0,100.0,100.0,100.0,60.0
Descalvado,71.9,40.6,18.8,90.6,65.6,100.0,100.0,100.0,100.0,40.6
Diadema,55.3,44.2,21.6,79.9,63.3,100.0,100.0,99.0,95.5,50.8
Dirce Reis,100.0,0.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,50.0
Divinolândia,100.0,55.6,22.2,88.9,33.3,100.0,100.0,77.8,100.0,33.3
Dobrada,57.1,57.1,0.0,100.0,71.4,100.0,100.0,100.0,100.0,28.6
Dois Córregos,72.2,44.4,11.1,77.8,50.0,100.0,100.0,100.0,94.4,55.6
Dolcinópolis,33.3,33.3,0.0,100.0,33.3,100.0,100.0,100.0,100.0,66.7
Dourado,57.1,57.1,0.0,100.0,28.6,100.0,100.0,100.0,100.0,42.9
Dracena,68.6,45.7,20.0,71.4,42.9,100.0,100.0,91.4,91.4,45.7
Duartina,72.7,63.6,9.1,63.6,54.5,100.0,100.0,100.0,100.0,45.5
Dumont,55.6,66.7,11.1,77.8,55.6,100.0,100.0,100.0,100.0,44.4
Echaporã,75.0,75.0,25.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Eldorado,18.8,25.0,12.5,100.0,21.9,100.0,100.0,68.8,100.0,25.0
Elias Fausto,69.2,46.2,7.7,92.3,38.5,100.0,100.0,100.0,92.3,53.8
Elisiário,33.3,66.7,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7
Embaúba,100.0,33.3,0.0,100.0,66.7,100.0,100.0,100.0,100.0,33.3
Embu das Artes,40.6,39.1,13.8,86.2,79.7,100.0,100.0,80.4,99.3,58.7
Embu-Guaçu,45.9,36.1,8.2,88.5,49.2,86.9,100.0,59.0,100.0,47.5
Emilianópolis,33.3,66.7,33.3,100.0,100.0,100.0,100.0,100.0,100.0,66.7
Engenheiro Coelho,41.7,41.7,25.0,91.7,75.0,100.0,100.0,100.0,100.0,25.0
Espírito Santo do Pinhal,52.5,42.5,22.5,82.5,67.5,100.0,100.0,87.5,97.5,40.0
Espírito Santo do Turvo,25.0,50.0,0.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Estiva Gerbi,14.3,14.3,7.1,92.9,50.0,100.0,100.0,100.0,100.0,28.6
Estrela d'Oeste,57.1,28.6,14.3,85.7,57.1,100.0,85.7,100.0,100.0,28.6
Estrela do Norte,50.0,50.0,25.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Euclides da Cunha Paulista,54.5,63.6,0.0,100.0,45.5,100.0,100.0,45.5,100.0,72.7
Fartura,69.2,46.2,15.4,92.3,76.9,100.0,100.0,100.0,100.0,46.2
Fernando Prestes,85.7,57.1,0.0,100.0,71.4,100.0,100.0,100.0,100.0,57.1
Fernandópolis,52.0,38.0,20.0,84.0,78.0,100.0,100.0,100.0,98.0,50.0
Fernão,100.0,33.3,0.0,100.0,0.0,100.0,100.0,100.0,100.0,33.3
Ferraz de Vasconcelos,37.3,30.9,5.5,83.6,70.0,100.0,100.0,100.0,99.1,36.4
Flora Rica,100.0,66.7,0.0,100.0,33.3,100.0,100.0,100.0,100.0,66.7
Floreal,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Florínea,60.0,80.0,20.0,80.0,40.0,100.0,100.0,100.0,100.0,40.0
Flórida Paulista,37.5,37.5,0.0,87.5,62.5,100.0,100.0,100.0,100.0,37.5
Franca,54.5,40.8,3.9,75.7,67.8,100.0,100.0,100.0,99.6,47.5
Francisco Morato,34.9,26.5,9.6,84.3,67.5,100.0,100.0,81.9,100.0,50.6
Franco da Rocha,34.8,20.7,6.5,83.7,64.1,98.9,98.9,94.6,95.7,42.4
Gabriel Monteiro,75.0,75.0,0.0,100.0,75.0,100.0,100.0,100.0,100.0,75.0
Garça,61.5,48.7,15.4,87.2,64.1,100.0,100.0,97.4,100.0,56.4
Gastão Vidigal,100.0,66.7,0.0,100.0,33.3,100.0,100.0,100.0,100.0,33.3
Gavião Peixoto,60.0,40.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,20.0
General Salgado,66.7,41.7,8.3,91.7,58.3,100.0,100.0,100.0,100.0,41.7
Getulina,55.6,55.6,0.0,77.8,22.2,100.0,100.0,100.0,100.0,44.4
Glicério,80.0,40.0,20.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0
Guaimbê,60.0,20.0,0.0,100.0,80.0,100.0,100.0,100.0,100.0,60.0
Guaiçara,66.7,44.4,11.1,100.0,88.9,100.0,100.0,100.0,100.0,55.6
Guapiara,54.8,48.4,12.9,96.8,9.7,100.0,100.0,38.7,96.8,35.5
Guapiaçu,41.7,41.7,33.3,91.7,66.7,100.0,100.0,100.0,100.0,41.7
Guaraci,50.0,62.5,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0
Guarani d'Oeste,75.0,50.0,25.0,100.0,75.0,100.0,100.0,100.0,100.0,75.0
Guarantã,16.7,0.0,0.0,100.0,83.3,100.0,100.0,100.0,100.0,33.3
Guararapes,41.4,51.7,27.6,89.7,65.5,100.0,100.0,100.0,100.0,31.0
Guararema,78.8,48.5,15.2,90.9,81.8,100.0,100.0,87.9,100.0,60.6
