Localidade da Escola;País;Região;UF;Município;Matrículas;Categoria 1;Categoria 1 - Ordenação;Categoria 2;Categoria 2 - Ordenação;Etapa de Ensino - Superior;Etapa de Ensino
Sudeste;Brasil;Sudeste;;;129866;Preta;2;Privada;4;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;5284;Amarela;4;Estadual;2;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;204;Amarela;4;Federal;1;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;9044;Amarela;4;Municipal;3;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;5422;Amarela;4;Privada;4;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;1407724;Branca;1;Estadual;2;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;39866;Branca;1;Federal;1;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;1962619;Branca;1;Municipal;3;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;836871;Branca;1;Privada;4;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;16396;Indígena;5;Estadual;2;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;127;Indígena;5;Federal;1;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;5380;Indígena;5;Municipal;3;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;1126;Indígena;5;Privada;4;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;265890;Não declarada;10;Estadual;2;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;8352;Não declarada;10;Federal;1;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;449869;Não declarada;10;Municipal;3;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;325994;Não declarada;10;Privada;4;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;373611;Parda;3;Estadual;2;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;6989;Parda;3;Federal;1;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;479950;Parda;3;Municipal;3;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;100226;Parda;3;Privada;4;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;73009;Preta;2;Estadual;2;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;2345;Preta;2;Federal;1;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;89551;Preta;2;Municipal;3;Educação Básica;Educação Básica
Sul;Brasil;Sul;;;29667;Preta;2;Privada;4;Educação Básica;Educação Básica
