ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2024;MOGI MIRIM;PEDREIRA;1;0;0;0;99,22;0,78;0;97,9;2,1;0
2024;ASSIS;PEDRINHAS PAULISTA;1;0;0;0;100;0;0;100;0;0
2024;MIRACATU;PEDRO DE TOLEDO;1;0;0;0;100;0;0;99,71;0,29;0
2024;PENAPOLIS;PENAPOLIS;1;100;0;0;98,34;1,66;0;97,35;2,65;0
2024;ANDRADINA;PEREIRA BARRETO;1;0;0;0;99,91;0,09;0;99,85;0,15;0
2024;BOTUCATU;PEREIRAS;1;0;0;0;98,01;1,99;0;98,78;1,22;0
2024;SAO VICENTE;PERUIBE;1;100;0;0;99,32;0,68;0;98,51;1,49;0
2024;BIRIGUI;PIACATU;1;0;0;0;98,8;1,2;0;98,91;1,09;0
2024;VOTORANTIM;PIEDADE;1;0;0;0;99,01;0,99;0;99,24;0,76;0
2024;VOTORANTIM;PILAR DO SUL;1;0;0;0;99,43;0,57;0;99,48;0,52;0
2024;PINDAMONHANGABA;PINDAMONHANGABA;1;0;0;0;99,5;0,5;0;97,5;2,5;0
2024;CATANDUVA;PINDORAMA;1;0;0;0;100;0;0;100;0;0
2024;BRAGANCA PAULISTA;PINHALZINHO;1;0;0;0;0;0;0;100;0;0
2024;SANTO ANASTACIO;PIQUEROBI;1;0;0;0;98,66;1,34;0;96,2;3,8;0
2024;GUARATINGUETA;PIQUETE;1;0;0;0;96,15;3,85;0;92,41;7,59;0
2024;BRAGANCA PAULISTA;PIRACAIA;1;0;0;0;100;0;0;100;0;0
2024;PIRACICABA;PIRACICABA;1;99,96;0,04;0;99,06;0,94;0;97,57;2,43;0
2024;PIRAJU;PIRAJU;1;0;0;0;99,24;0,76;0;95,21;4,79;0
2024;BAURU;PIRAJUI;1;0;0;0;100;0;0;99,32;0,68;0
2024;TAQUARITINGA;PIRANGI;1;0;0;0;100;0;0;100;0;0
2024;ITAPEVI;PIRAPORA DO BOM JESUS;1;0;0;0;0;0;0;94,23;5,77;0
2024;PRESIDENTE PRUDENTE;PIRAPOZINHO;1;0;0;0;98,07;1,93;0;94,93;5,07;0
2024;PIRASSUNUNGA;PIRASSUNUNGA;1;0;0;0;97,04;2,96;0;85,2;14,8;0
2024;BAURU;PIRATININGA;1;0;0;0;98,54;1,46;0;99,19;0,81;0
2024;SERTAOZINHO;PITANGUEIRAS;1;0;0;0;97,76;2,24;0;96,89;3,11;0
2024;JOSE BONIFACIO;PLANALTO;1;0;0;0;98,23;1,77;0;97,79;2,21;0
2024;ASSIS;PLATINA;1;0;0;0;99,37;0,63;0;96,97;3,03;0
2024;ITAQUAQUECETUBA;POA;1;0;0;0;98,04;1,96;0;96,64;3,36;0
2024;JOSE BONIFACIO;POLONI;1;100;0;0;99;1;0;97,96;2,04;0
2024;MARILIA;POMPEIA;1;0;0;0;96,89;3,11;0;88,91;11,09;0
2024;LINS;PONGAI;1;0;0;0;97,95;2,05;0;100;0;0
2024;SERTAOZINHO;PONTAL;1;0;0;0;100;0;0;97,15;2,85;0
2024;JALES;PONTALINDA;1;0;0;0;100;0;0;92,59;7,41;0
2024;VOTUPORANGA;PONTES GESTAL;1;0;0;0;100;0;0;100;0;0
2024;FERNANDOPOLIS;POPULINA;1;0;0;0;96,02;3,98;0;88,79;11,21;0
2024;BOTUCATU;PORANGABA;1;0;0;0;94,91;5,09;0;90,51;9,49;0
2024;ITU;PORTO FELIZ;1;0;0;0;100;0;0;94,99;5,01;0
2024;PIRASSUNUNGA;PORTO FERREIRA;1;0;0;0;94,11;5,89;0;83,02;16,98;0
2024;GUARATINGUETA;POTIM;1;0;0;0;0;0;0;91,13;8,87;0
2024;SAO JOSE DO RIO PRETO;POTIRENDABA;1;0;0;0;0;0;0;98,2;1,8;0
2024;ADAMANTINA;PRACINHA;1;0;0;0;100;0;0;100;0;0
