ano,unidade_geografica,regiao,localizacao,dependencia_administrativa,grupo_de_abandono,taxa_abandono,renda_media
2013,Amapá,Norte,Urbana,Privada,Ensino Fundamental,0.3,2693
2013,Amapá,Norte,Urbana,Municipal,Ensino Fundamental,1.9,2693
2013,Amapá,Norte,Urbana,Estadual,Ensino Fundamental,3.7,2693
2013,Tocantins,Norte,Total,Total,Ensino Fundamental,1.5,2241
2013,Tocantins,Norte,Total,Pública,Ensino Fundamental,1.6,2241
2013,Tocantins,Norte,Total,Privada,Ensino Fundamental,0.1,2241
2013,Tocantins,Norte,Total,Municipal,Ensino Fundamental,1.1,2241
2013,Tocantins,Norte,Total,Estadual,Ensino Fundamental,2.1,2241
2013,Tocantins,Norte,Rural,Total,Ensino Fundamental,3.3,2241
2013,Tocantins,Norte,Rural,Pública,Ensino Fundamental,3.3,2241
2013,Tocantins,Norte,Rural,Privada,Ensino Fundamental,0.2,2241
2013,Tocantins,Norte,Rural,Municipal,Ensino Fundamental,1.8,2241
2013,Tocantins,Norte,Rural,Estadual,Ensino Fundamental,7.5,2241
2013,Tocantins,Norte,Urbana,Total,Ensino Fundamental,1.2,2241
2013,Tocantins,Norte,Urbana,Pública,Ensino Fundamental,1.3,2241
2013,Tocantins,Norte,Urbana,Privada,Ensino Fundamental,0.1,2241
2013,Tocantins,Norte,Urbana,Municipal,Ensino Fundamental,0.9,2241
2013,Tocantins,Norte,Urbana,Estadual,Ensino Fundamental,1.6,2241
2013,Maranhão,Nordeste,Total,Total,Ensino Fundamental,3.3,1569
2013,Maranhão,Nordeste,Total,Pública,Ensino Fundamental,3.5,1569
2013,Maranhão,Nordeste,Total,Privada,Ensino Fundamental,0.5,1569
2013,Maranhão,Nordeste,Total,Municipal,Ensino Fundamental,3.6,1569
2013,Maranhão,Nordeste,Total,Federal,Ensino Fundamental,0.2,1569
2013,Maranhão,Nordeste,Total,Estadual,Ensino Fundamental,3.7,1569
2013,Maranhão,Nordeste,Rural,Total,Ensino Fundamental,3.7,1569
2013,Maranhão,Nordeste,Rural,Pública,Ensino Fundamental,3.7,1569
2013,Maranhão,Nordeste,Rural,Privada,Ensino Fundamental,2.0,1569
2013,Maranhão,Nordeste,Rural,Municipal,Ensino Fundamental,3.6,1569
2013,Maranhão,Nordeste,Rural,Federal,Ensino Fundamental,1.0,1569
2013,Maranhão,Nordeste,Rural,Estadual,Ensino Fundamental,6.5,1569
2013,Maranhão,Nordeste,Urbana,Total,Ensino Fundamental,3.0,1569
2013,Maranhão,Nordeste,Urbana,Pública,Ensino Fundamental,3.5,1569
2013,Maranhão,Nordeste,Urbana,Privada,Ensino Fundamental,0.4,1569
2013,Maranhão,Nordeste,Urbana,Municipal,Ensino Fundamental,3.5,1569
2013,Maranhão,Nordeste,Urbana,Federal,Ensino Fundamental,0.0,1569
2013,Maranhão,Nordeste,Urbana,Estadual,Ensino Fundamental,2.6,1569
2013,Piauí,Nordeste,Total,Total,Ensino Fundamental,2.8,1874
2013,Piauí,Nordeste,Total,Pública,Ensino Fundamental,3.2,1874
2013,Piauí,Nordeste,Total,Privada,Ensino Fundamental,0.3,1874
2013,Piauí,Nordeste,Total,Municipal,Ensino Fundamental,2.9,1874
